Publication
https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30554-7/fulltext
https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)30951-6/fulltext
https://www.jacc.org/doi/10.1016/j.jacc.2021.04.044
https://www.jacc.org/doi/10.1016/j.jacc.2021.06.044
https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00788-1/fulltext
https://www.nature.com/articles/s41440-021-00754-7
